Title,Views,Video Duration,Uploaded_at,Thumbnail
Heart Touching Beautiful Dua 2023 | Gunahon Ki Adat Churha De Ya Rab | Zaki Ahmad | Nasheed Club,2.5K views,9:59,1 day ago,https://i.ytimg.com/vi/re2zE0u4GOI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4-_ulmk3JgP1CXd8pbKuHA_g2hg
Beautiful New Hamd 2023 | La ilaha illallah | Zaki Ahmad | New Naat Sharif 2023 | Nasheed Club,5.4K views,6:20,9 days ago,https://i.ytimg.com/vi/JUKk0-Saz5k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDri3AfpY4HcAQgLTWhu64O4AMLUQ
New Naat Sharif 2023 | Muhammad Naam Likhta Hun | Zaki Ahmad | Hassan Anzar | Nasheed Club,26K views,7:45,2 weeks ago,
Heart Touching Beautiful Dua | Sun Sada Aey Khuda | Zaki Ahmad | New Beautiful Naat 2023,18K views,8:40,3 weeks ago,
Heart Touching Dua 2023 | Mola Teri Raza Chahie | Zaki Ahmed | Nasheed Club | Peace Studio,13K views,7:31,1 month ago,
Humne Ankhon Se Dekha Nahi Hai Magar | Beautiful Naat Sharif | Zaki Ahmed | Nasheed Club,4.8K views,5:02,1 month ago,
Heart Touching Emotional Kalam  | Hun Andhero Me Mola | Zaki Ahmad  | Nasheed Club | Peace Studio,19K views,5:56,1 month ago,
Heart Touching Dua | Reham Farma Mere Mola | Zaki Ahmad | Nasheed Club,7.3K views,5:03,2 months ago,
New Beautiful Naat | Ay Khatm e Rusul Makki Madani | Zaki Ahmad | Nasheed Club | Peace Studio,7.8K views,6:33,2 months ago,
New Emotional Nasheed 2023 | Hai Ajeeb sheher Ki Zindagi | Zaki Ahmad | Nasheed Club | Peace studio,10K views,5:47,3 months ago,
Heart Touching Emotional Dua | Me Gunahgar Hazir Hun Mola | Zaki Ahmad | Peace Studio | Nasheed Club,26K views,7:28,3 months ago,
Heart Touching kalaam 2023 | Na Poocho Dastaan E Zeest | Zaki Ahmad | Nasheed Club | Peace Studio,34K views,9:07,4 months ago,
Tearful Emotional kalam | Ye Ashiq Kon Si Basti K Ya Rab Rehne Wale Hain | Zaki Ahmad | Nasheed Club,50K views,7:36,4 months ago,
Heart Touching Emotional Dua | Mujhe Din Day Apne Khyal Ka | Zaki Ahmad | Nasheed Club,15K views,4:59,5 months ago,
Most Emotional Nasheed 2022 | Tujhe Mitti Mein Jana Hai | Zaki Ahmad,10K views,5:06,5 months ago,
New Heart Touching Emotional Kalam | Zakhmi Kaliyon Ka Muskurana | Zaki Ahmad | Nasheed Club,25K views,5:11,5 months ago,
Heart Touching Emotional kalam | Ilahi Mujhe Bakhsh De | Zaki Ahmad,18K views,4:34,5 months ago,
Heart Touching kalam | Tum Yaad Mujhe Ajate Ho | Zaki Ahmad,184K views,6:46,6 months ago,
New Rabi Ul Awwal Naat 2022 | Har Taraf Shor Hai | Mustafa Aagye | Zaki Ahmad,3K views,5:14,6 months ago,
New Naat Sharif 2022 | Hamara Nabi | Zaki Ahmad | Hisham Younus,3K views,4:21,6 months ago,
Heart Touching Emotional Kalam | Tanha Hun Khuda | Zaki Ahmad,87K views,6:07,6 months ago,
New Heart Touching Kalam 2022 | Meri Maa ki Shan | Zaki Ahmad,2.9K views,5:48,7 months ago,
Heart Touching emotional kalam - Ilahi me Bnda Gunah gar hun | Nasheed club | peace studio,37K views,5:18,7 months ago,
Emotional Hamd | Parwardigar e Alam | Tera hi hai sahara Zaki Ahmad,33K views,5:30,7 months ago,
14 August Song 2022 | Ye Pak Watan Apna | Zaki Ahmad,8.3K views,4:15,8 months ago,https://i.ytimg.com/vi/JyRaXts9Q7M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCL8x4zghZ_lE7k9tOWWdydq71nDw
Heart touching Kalam | Ik nigah e  karam | Naat 2022 | Zaki Ahmad,34K views,6:04,8 months ago,https://i.ytimg.com/vi/zFo04o-ikQE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxwCmAsz0DkovIfTrsKsRWkZ17bQ
Heart touching Dua | Bnda hun tera | Mere Allah meri sun | Zaki Ahmad,346K views,8:58,9 months ago,https://i.ytimg.com/vi/NDEdUOUYt8I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDeOuOBUxW8daaFU4Li1XZ1LhCjBQ
